Age [range],Revenue [range],Amount Requested [range],Status
<2,<20,<20,False
2|5,<20,<20,True
>5,<20,<20,True
<2,20|50,<20,True
2|5,20|50,<20,True
>5,20|50,<20,True
<2,>50,<20,True
2|5,>50,<20,True
>5,>50,<20,True
<2,<20,20|50,False
2|5,<20,20|50,False
>5,<20,20|50,False
<2,20|50,20|50,False
2|5,20|50,20|50,True
>5,20|50,20|50,True
<2,>50,20|50,False
2|5,>50,20|50,True
>5,>50,20|50,True
<2,<20,>50,False
2|5,<20,>50,False
>5,<20,>50,True
<2,20|50,>50,False
2|5,20|50,>50,False
>5,20|50,>50,True
<2,>50,>50,True
2|5,>50,>50,True
>5,>50,>50,True
